logical clock: 226 | received | global time: 16:02:28.139574 | queue length: 0
logical clock: 227 | internal event | global time: 16:02:28.309531
logical clock: 228 | internal event | global time: 16:02:28.479499
logical clock: 229 | internal event | global time: 16:02:28.652966
logical clock: 230 | sent: 1 | global time: 16:02:28.824427
logical clock: 231 | internal event | global time: 16:02:28.995808
logical clock: 232 | internal event | global time: 16:02:29.166545
logical clock: 233 | internal event | global time: 16:02:29.338200
logical clock: 234 | internal event | global time: 16:02:29.509011
logical clock: 235 | internal event | global time: 16:02:29.681567
logical clock: 236 | sent: 3 | global time: 16:02:29.852706
logical clock: 237 | internal event | global time: 16:02:30.024718
logical clock: 238 | internal event | global time: 16:02:30.206732
logical clock: 239 | internal event | global time: 16:02:30.381059
logical clock: 240 | internal event | global time: 16:02:30.569489
logical clock: 241 | internal event | global time: 16:02:30.753148
logical clock: 242 | internal event | global time: 16:02:30.923657
logical clock: 243 | received | global time: 16:02:31.092408 | queue length: 0
logical clock: 244 | internal event | global time: 16:02:31.263453
logical clock: 245 | internal event | global time: 16:02:31.435097
logical clock: 246 | internal event | global time: 16:02:31.622816
logical clock: 247 | received | global time: 16:02:31.805653 | queue length: 0
logical clock: 248 | sent: 2 | global time: 16:02:31.975199
logical clock: 249 | received | global time: 16:02:32.147509 | queue length: 0
logical clock: 250 | internal event | global time: 16:02:32.321089
logical clock: 251 | internal event | global time: 16:02:32.491185
logical clock: 252 | internal event | global time: 16:02:32.663287
logical clock: 253 | sent: 3 | global time: 16:02:32.834964
logical clock: 254 | sent: 2 | global time: 16:02:33.006649
logical clock: 255 | internal event | global time: 16:02:33.178124
logical clock: 256 | internal event | global time: 16:02:33.350389
logical clock: 257 | internal event | global time: 16:02:33.521652
logical clock: 258 | sent: 1 | global time: 16:02:33.707233
logical clock: 259 | internal event | global time: 16:02:33.890133
logical clock: 260 | sent: 1 | global time: 16:02:34.063966
logical clock: 261 | internal event | global time: 16:02:34.237440
logical clock: 262 | received | global time: 16:02:34.406882 | queue length: 0
logical clock: 263 | internal event | global time: 16:02:34.579951
logical clock: 264 | internal event | global time: 16:02:34.757972
logical clock: 265 | received | global time: 16:02:34.941190 | queue length: 0
logical clock: 266 | internal event | global time: 16:02:35.115949
logical clock: 267 | sent: 2 | global time: 16:02:35.289620
logical clock: 268 | internal event | global time: 16:02:35.473368
logical clock: 269 | sent: 1 | global time: 16:02:35.644933
logical clock: 270 | sent: 3 | global time: 16:02:35.815800
logical clock: 271 | internal event | global time: 16:02:35.988338
logical clock: 272 | sent: 3 | global time: 16:02:36.160368
logical clock: 273 | internal event | global time: 16:02:36.331636
logical clock: 274 | internal event | global time: 16:02:36.506976
logical clock: 275 | internal event | global time: 16:02:36.679016
logical clock: 276 | internal event | global time: 16:02:36.850772
logical clock: 277 | internal event | global time: 16:02:37.035576
logical clock: 278 | internal event | global time: 16:02:37.207642
logical clock: 279 | received | global time: 16:02:37.383333 | queue length: 0
logical clock: 280 | sent: 3 | global time: 16:02:37.557065
logical clock: 281 | internal event | global time: 16:02:37.728149
logical clock: 282 | internal event | global time: 16:02:37.900293
logical clock: 283 | internal event | global time: 16:02:38.073742
logical clock: 284 | internal event | global time: 16:02:38.248737
logical clock: 285 | received | global time: 16:02:38.434562 | queue length: 0
logical clock: 286 | sent: 3 | global time: 16:02:38.607449
logical clock: 287 | sent: 3 | global time: 16:02:38.779391
logical clock: 288 | internal event | global time: 16:02:38.951699
logical clock: 289 | sent: 1 | global time: 16:02:39.136621
logical clock: 290 | internal event | global time: 16:02:39.313750
logical clock: 291 | sent: 1 | global time: 16:02:39.501027
logical clock: 292 | internal event | global time: 16:02:39.686707
logical clock: 293 | internal event | global time: 16:02:39.859451
logical clock: 294 | internal event | global time: 16:02:40.032164
logical clock: 295 | internal event | global time: 16:02:40.206949
logical clock: 296 | sent: 3 | global time: 16:02:40.377725
logical clock: 297 | sent: 3 | global time: 16:02:40.553579
logical clock: 298 | internal event | global time: 16:02:40.736674
logical clock: 299 | internal event | global time: 16:02:40.910177
logical clock: 300 | internal event | global time: 16:02:41.080847
logical clock: 301 | internal event | global time: 16:02:41.254292
logical clock: 302 | internal event | global time: 16:02:41.424738
logical clock: 303 | received | global time: 16:02:41.597577 | queue length: 0
logical clock: 304 | internal event | global time: 16:02:41.767519
logical clock: 305 | internal event | global time: 16:02:41.938401
logical clock: 306 | internal event | global time: 16:02:42.113068
logical clock: 307 | internal event | global time: 16:02:42.285675
logical clock: 308 | internal event | global time: 16:02:42.458560
logical clock: 309 | received | global time: 16:02:42.629605 | queue length: 0
logical clock: 310 | internal event | global time: 16:02:42.800117
logical clock: 311 | internal event | global time: 16:02:42.975242
logical clock: 312 | internal event | global time: 16:02:43.163232
logical clock: 313 | internal event | global time: 16:02:43.347673
logical clock: 314 | internal event | global time: 16:02:43.524038
logical clock: 315 | internal event | global time: 16:02:43.707232
logical clock: 316 | internal event | global time: 16:02:43.878191
logical clock: 317 | internal event | global time: 16:02:44.053071
logical clock: 318 | sent: 1 | global time: 16:02:44.239905
